state,poor_health
National Avg,17.93
Alabama,23.81642922
Alaska,16.91457912
Arizona,19.87590027
Arkansas,23.30301673
California,16.18606327
Colorado,14.44855872
Connecticut,11.81760478
Delaware,17.85645308
Florida,20.09505817
Georgia,20.098916
Hawaii,13.37456583
Idaho,15.53911231
Illinois,15.37744747
Indiana,18.17158914
Iowa,13.65760235
Kansas,15.98222582
Kentucky,22.8936211
Louisiana,22.36997865
Maine,13.6740596
Maryland,13.90439971
Massachusetts,13.15439601
Michigan,15.21125091
Minnesota,12.53154013
Mississippi,25.15813162
Missouri,19.95247818
Montana,14.54942359
Nebraska,14.1122694
Nevada,18.12634729
New Hampshire,12.37277934
New Jersey,16.52790729
New Mexico,22.12597174
New York,15.09623128
North Carolina,18.44969376
North Dakota,14.23604924
Ohio,17.14839389
Oklahoma,20.54258391
Oregon,15.46096568
Pennsylvania,16.00521566
Rhode Island,13.46024982
South Carolina,19.96180418
South Dakota,13.66255731
Tennessee,21.35338569
Texas,20.60277725
Utah,13.49131519
Vermont,12.33680867
Virginia,16.71366835
Washington,16.29655214
West Virginia,23.07325933
Wisconsin,13.23740934
Wyoming,14.03942755
